1:6	"lei e xion"
260:16	"xion... i fia alt?? son sol ti et yul xion amanze??"
260:19	"beo!"
260:22	"neeme nels le vadet ulo fin til vir tinka, le til amir tiia del daiz iifa o noi dait del
260:23	daiz mete. ti re fit vei vir nozet al an..."
260:24	"lein, la kur to??"
260:25	"arten... le et arten lana ar art. yan tu et arten e..."
260:29	"xion lua!"
261:1	"re art kon varde ont elfi!"
261:3	"re lad vanobal veil cuukiite aluut nag van tiis il!"
261:5	"ans si mel!"
261:17	"tyu re okt arten e vanobal, xiyu??"
261:21	far e eryulo,
261:22	fiol e ferden,
261:23	bal e eria.
262:14	siil tel art,
262:15	--ixirius!
262:23	"son ketta, neeme e cuuk del cuukiite!"
263:5	"xion amanze, ti lunas atu lana vano xita nozet kok?? sol eri tiil til kahi alka dac!"
263:10	"xion!"
263:13	"te vins vasn. ren amis non. mon tyu et ermes noan, tet kaat tyu et eriol noan e"
263:15	"lein... lena alk fan tu fia. son leev!"
264:1	"es... aca es... ti et... ti et to, xion amanze..."
264:2	"non et alkatis it altfia. re em alvam, fenzel. lena vastik tyu"
264:3	"gmm, ti xar nos vastik an?"
264:7	"sol an et vastan! an vast xaf il lana vano tu kaaaaadd!"
264:19	"...xontik me in"
264:20	"hei, sara..."
264:23	"komo, ema ik solxe xelf ravel a"
264:28	"aaaaggggg!"
265:3	"fenzel..."
265:9	"hain... xa"
265:11	"beo... blis e yutian... dis... dilik ano antes... ans del alkatis xan e tuumi kad..."
265:12	"tu et sool t'alkatis xel artales set kadan teal?"
265:13	"dis... xanel na tuube kad et ixat a? klan sein vortand kont ans milan emi kui imelbecs"
265:14	"hqm... alfi ti anot mej lua artena lana em aster sam, sed asikati i tu kad xa"
265:15	"tal... dis rigik ano antes... hain!"
265:18	"fenzel... ans kaven ti lut lanand fia ixat onna? tal yuu lad sen fia l'il na kax al tisee, olta tu
265:19	et lua artena ul dyussou mirok"
265:20	"tac...! xe lad xaf lendi fia... da!"
265:24	"freinoa...?"
265:25	"tu de fas tiil, miva"
265:27	"...tet"
265:29	"sara... ketta"
266:1	"an xal lif ento miyu sen seta, liif"
266:4	"pentant, fenzel. on fia reete, an xam van ti. tal on kos, won ti xal teria"
266:5	"...soa xa"
266:7	"in an, fenzel. an ar van ulanse xant"
266:8	"te biiz ca artales, liif"
266:10	"an vais van ak ti miyu tuube kad ges it ardel. nias van arbazard a ti, hain alteems...!"
266:11	"al mirok"
266:12	"hqn, ti en fokik yutia kelel beke, kok? see an xant van dert veer a laabe lex... al haizen"
266:15	"...alkarbazard"
267:16	"wei! tiis! ilpasso??"
267:26	"ya, lena vat fan tyu"
267:30	"qm... la pornates tu veim sa liset fien dil vil tuube tilfel. alfi... la serates il e"
268:1	"...xan?"
268:2	"la oktat fuul enat a nain lana dil tu veim. tet res e fenzel setat tu evrens. see la lunar atu
268:3	ter"
268:4	"lana...?"
268:5	"lana kea vatin kokko art ter"
268:6	"...tinka"
268:11	"fok la rensat nan kea fan tyu tan e"
268:12	"hqr? non?"
269:3	"lein"
270:5	"xion? tyu ik net?"
270:6	"lein... non..."
270:19	"lein, fis et ne?"
270:20	"mel e"
270:27	"xion? tyu ik net?"
270:29	"tyu lunas atu xan"
270:30	"alia keat tyu kokko firart tisse, xion"
271:3	"aa, passo passooo, noel nat ban kokko xian fol xian es mok xiima "
271:28	"mir sins main enat, deem meltia"
272:6	"anfiima, dyussou"
272:7	"an sent ti man ti xalat kokka e tu fia haas vox ant, alkatis e yumana"
272:11	vat
273:13	"xion... ti leev xanel e?"
273:14	"arxe..."
273:16	"son ti leyu van an kok"
273:19	"alfi tyu yutat non im le siina?"
273:20	"olta soa, ti leev van kok?"
273:21	"naskik"
273:22	"tet, non leyu elf tyu e. olta lena xalm fia enk, yumi es ark al axel eu"
273:28	"xion..."
274:11	"kaam tis at tuval xalt tyu e?"
274:12	"ans es ark kok? son ans akt sen ravel im xe"
274:16	"ol ti en luna sil an, son an jis van sia soven fia antes"
274:26	"xion, passo?"
274:28	ax, ilpasso e
277:16	"doova, lein... arxe... alia... a melsel...!"
